UID,movie,how_long_ago
231,Pi (1998),gt10
231,"Godfather: Part II, The (1974)",gt10
231,Star Wars: Episode IV - A New Hope (1977),gt10
231,Wild Wild West (1999),6to10
232,"Lion King, The (1994)",gt10
232,Toy Story (1995),gt10
232,"Truman Show, The (1998)",1to5
232,"Clockwork Orange, A (1971)",1to5
232,Beauty and the Beast (1991),gt10
232,Pulp Fiction (1994),1to5
232,Jurassic Park (1993),1to5
232,Edward Scissorhands (1990),1to5
232,"Wizard of Oz, The (1939)",gt10
232,Aladdin (1992),gt10
235,Apollo 13 (1995),1to5
235,"Fifth Element, The (1997)",1to5
235,Pirates of the Caribbean: The Curse of the Black Pearl (2003),1
235,L.A. Confidential (1997),6to10
235,Taxi Driver (1976),6to10
235,Apocalypse Now (1979),6to10
235,Charlie's Angels (2000),1to5
235,Die Hard (1988),6to10
235,Braveheart (1995),6to10
235,Titanic (1997),1
236,Jurassic Park (1993),6to10
236,Mrs. Doubtfire (1993),1to5
236,"Lord of the Rings: The Two Towers, The (2002)",1
236,"Godfather, The (1972)",1
236,Titanic (1997),1
236,Batman (1989),1
236,Aladdin (1992),1to5
236,Pirates of the Caribbean: Dead Man's Chest (2006),1
236,"Godfather: Part II, The (1974)",1to5
236,Back to the Future (1985),1to5
245,Pi (1998),1
245,Austin Powers: International Man of Mystery (1997),1
245,"Godfather: Part II, The (1974)",1
245,Kill Bill: Vol. 2 (2004),1
245,Kill Bill: Vol. 1 (2003),1
245,Mission: Impossible II (2000),1
245,Pirates of the Caribbean: Dead Man's Chest (2006),1
245,Star Wars: Episode IV - A New Hope (1977),1
245,Dark City (1998),1to5
245,Princess Mononoke (Mononoke-hime) (1997),1to5
246,Beetlejuice (1988),6to10
246,Eternal Sunshine of the Spotless Mind (2004),1to5
246,"Lion King, The (1994)",gt10
246,Back to the Future Part III (1990),6to10
246,Pulp Fiction (1994),1to5
246,Back to the Future (1985),6to10
246,American Beauty (1999),1to5
246,Willy Wonka & the Chocolate Factory (1971),6to10
246,Aladdin (1992),gt10
246,"Wizard of Oz, The (1939)",gt10
247,Ace Ventura: Pet Detective (1994),gt10
247,"Wizard of Oz, The (1939)",1
247,Toy Story (1995),1to5
247,Aladdin (1992),1to5
247,Monty Python and the Holy Grail (1975),6to10
247,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
247,Slumdog Millionaire (2008),6to10
247,Austin Powers: International Man of Mystery (1997),gt10
247,"Lord of the Rings: The Two Towers, The (2002)",6to10
247,Pretty Woman (1990),1to5
248,Austin Powers: The Spy Who Shagged Me (1999),gt10
248,Independence Day (a.k.a. ID4) (1996),gt10
248,Pretty Woman (1990),gt10
248,Star Wars: Episode IV - A New Hope (1977),1to5
248,Back to the Future Part III (1990),gt10
248,Stargate (1994),gt10
248,Die Hard (1988),gt10
248,Austin Powers: International Man of Mystery (1997),gt10
248,Mission: Impossible II (2000),gt10
248,Willy Wonka & the Chocolate Factory (1971),gt10
249,National Treasure (2004),gt10
249,Titanic (1997),gt10
249,American Beauty (1999),gt10
249,"Lion King, The (1994)",gt10
249,Kill Bill: Vol. 1 (2003),gt10
249,"Godfather, The (1972)",gt10
249,Memento (2000),gt10
249,Waterworld (1995),gt10
249,Mrs. Doubtfire (1993),gt10
249,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
252,Back to the Future Part III (1990),1
252,Jurassic Park (1993),1
252,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1
252,Dead Man Walking (1995),1
252,Mission: Impossible II (2000),1
252,Fight Club (1999),1
252,"Godfather, The (1972)",1
252,Billy Elliot (2000),1
252,Pirates of the Caribbean: Dead Man's Chest (2006),1
252,Memento (2000),1
253,Men in Black (a.k.a. MIB) (1997),1to5
253,"Silence of the Lambs, The (1991)",6to10
253,Jurassic Park (1993),gt10
253,Amadeus (1984),gt10
253,Fargo (1996),1to5
253,Forrest Gump (1994),6to10
253,Monty Python and the Holy Grail (1975),gt10
253,Casablanca (1942),1
253,Mrs. Doubtfire (1993),gt10
253,My Cousin Vinny (1992),gt10
254,Dark City (1998),1to5
254,Titanic (1997),gt10
254,Ace Ventura: Pet Detective (1994),1to5
254,Back to the Future (1985),1to5
254,Seven (a.k.a. Se7en) (1995),1to5
254,Dead Man Walking (1995),1to5
254,Batman (1989),6to10
254,Toy Story (1995),1
254,Beauty and the Beast (1991),1
254,Charlie's Angels (2000),1
255,"Lion King, The (1994)",6to10
255,Pirates of the Caribbean: Dead Man's Chest (2006),1to5
255,Star Wars: Episode IV - A New Hope (1977),6to10
255,Jurassic Park (1993),gt10
255,Batman Forever (1995),1to5
255,Men in Black (a.k.a. MIB) (1997),6to10
255,Aladdin (1992),gt10
255,"Mask, The (1994)",1to5
255,"Matrix, The (1999)",gt10
255,Stargate (1994),gt10
256,Total Recall (1990),6to10
256,"Matrix, The (1999)",6to10
256,National Treasure (2004),6to10
256,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
256,"Lord of the Rings: The Two Towers, The (2002)",6to10
256,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
256,"Lion King, The (1994)",6to10
256,"Matrix Reloaded, The (2003)",6to10
256,Titanic (1997),6to10
256,Aladdin (1992),6to10
262,Titanic (1997),1
262,Jurassic Park (1993),1to5
262,Charlie's Angels (2000),1to5
262,"Wizard of Oz, The (1939)",1
262,Ace Ventura: Pet Detective (1994),1to5
262,Men in Black (a.k.a. MIB) (1997),1to5
262,You've Got Mail (1998),6to10
262,Ace Ventura: When Nature Calls (1995),6to10
262,Back to the Future (1985),6to10
262,National Treasure (2004),1
266,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
266,"Pagemaster, The (1994)",6to10
266,"English Patient, The (1996)",1
266,"American President, The (1995)",6to10
266,Terminator 2: Judgment Day (1991),1to5
266,Mrs. Doubtfire (1993),6to10
266,Into the Wild (2007),6to10
266,Batman Forever (1995),gt10
266,"Usual Suspects, The (1995)",1to5
266,Beetlejuice (1988),1to5
264,Back to the Future Part III (1990),gt10
264,Slumdog Millionaire (2008),6to10
264,Kill Bill: Vol. 2 (2004),gt10
264,Kill Bill: Vol. 1 (2003),gt10
264,Jurassic Park (1993),gt10
264,"Clockwork Orange, A (1971)",1to5
264,Taxi Driver (1976),1to5
264,"Pianist, The (2002)",6to10
264,Billy Elliot (2000),gt10
264,"Godfather: Part II, The (1974)",1
265,One Flew Over the Cuckoo's Nest (1975),1to5
265,Blade Runner (1982),1
265,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),1
265,Seven (a.k.a. Se7en) (1995),1
265,"Clockwork Orange, A (1971)",1to5
